"id","manu_code","manufile_manu_name","created_at","updated_at","row_creator_id","manufile_manu_code_an2","manufile_manu_code_an3","packed_cost_pcode_1","packed_cost_percent_1","packed_cost_pcode_2","packed_cost_percent_2","packed_cost_pcode_3","packed_cost_percent_3","packed_cost_pcode_4","packed_cost_percent_4","packed_cost_pcode_5","packed_cost_percent_5","packed_cost_pcode_6","packed_cost_percent_6","packed_cost_pcode_7","packed_cost_percent_7","packed_cost_pcode_8","packed_cost_percent_8","packed_cost_pcode_9","packed_cost_percent_9","packed_cost_pcode_10","packed_cost_percent_10","manufile_warranty_code_1","manufile_warranty_desc_1","manufile_warranty_length_1","manufile_warranty_period_1","manufile_warranty_code_2","manufile_warranty_desc_2","manufile_warranty_length_2","manufile_warranty_period_2","manufile_warranty_code_3","manufile_warranty_desc_3","manufile_warranty_length_3","manufile_warranty_period_3","manufile_warranty_code_4","manufile_warranty_desc_4","manufile_warranty_length_4","manufile_warranty_period_4","manufile_warranty_code_5","manufile_warranty_desc_5","manufile_warranty_length_5","manufile_warranty_period_5","manufile_warranty_code_6","manufile_warranty_desc_6","manufile_warranty_length_6","manufile_warranty_period_6","manufile_warranty_code_7","manufile_warranty_desc_7","manufile_warranty_length_7","manufile_warranty_period_7","manufile_warranty_code_8","manufile_warranty_desc_8","manufile_warranty_length_8","manufile_warranty_period_8","manufile_warranty_code_9","manufile_warranty_desc_9","manufile_warranty_length_9","manufile_warranty_period_9","manufile_warranty_code_10","manufile_warranty_desc_10","manufile_warranty_length_10","manufile_warranty_period_10","ht_etl_schema"
"70","CMX","CARGO MAX","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CM","CMX",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"71","CNO","CANINO","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CN","CNO",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"72","CNT","CONTINENTAL","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CN","CNT",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"73","COF","CORLEONED FORGED","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CO","COF",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"74","COM","COMFORSER","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CO","COM",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"75","CON","CONCEPT 1","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CO","CON",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"76","COO","COOPER","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CO","COO",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"77","COS","COSMO","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CO","COS",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"78","CPR","CAPRI","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CP","CPR",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"79","CQA","CONQUISTA","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CQ","CQA",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"80","CQE","CONQUISTA","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CQ","CQE",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"81","CRA","CRUSIER ALLOY","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CR","CRA",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"82","CRB","CARBON","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CR","CRB",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"83","CRS","CROSS SPORT","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CR","CRS",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"84","CRU","CRUSER","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CR","CRU",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"85","CRV","CRAVE","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CR","CRV",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"86","CRW","CROSSWIND","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CR","CRW",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"87","CSR","CRUISER ALLOY","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CS","CSR",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"88","CST","CAR SPORT","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CS","CST",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"89","CTM","CUSTOM","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CT","CTM",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"90","CVL","CAVALRY","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CV","CVL",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"91","CVO","CAVALLO","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CV","CVO",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"92","CVY","CALVARY","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CV","CVY",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"93","CYN","CYNERGI","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"CY","CYN",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"94","D8T","D8","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"D8","D8T",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"95","DAK","DAKAR","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DA","DAK",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"96","DBA","DUB BALLER","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DB","DBA",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"97","DBL","DIABLO","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DB","DBL",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"98","DCK","DICK CEPEK","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DC","DCK",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"99","DCM","DUCK COMMANDER","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DC","DCM",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"100","DCT","D CENTI","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DC","DCT",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"101","DEE","DEEGAN","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DE","DEE",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"102","DEL","DELENTI","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DE","DEL",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"103","DEV","DEVINO","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DE","DEV",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"104","DFT","DRIFT","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DF","DFT",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"105","DFZ","DRIFZ","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DF","DFZ",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"106","DIP","DIP","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DI","DIP",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"107","DIV","DIVINITY","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DI","DIV",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"108","DOL","DOLCE","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DO","DOL",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"109","DRG","DRAG CONCEPTS","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DR","DRG",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"110","DRT","DURATURN","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DR","DRT",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"111","DST","DEESTRONG","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DS","DST",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"112","DTC","DIRT COMMANDER","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DT","DTC",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"113","DTN","DURATURN","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DT","DTN",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"114","DTR","DROPSTARS","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DT","DTR",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"115","DUB","DUB","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DU","DUB",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"116","DUR","DURUN","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DU","DUR",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"117","DYL","DIRTY LIFE","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DY","DYL",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"118","DZW","DZ","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"DZ","DZW",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"119","ECL","ECLIPSE","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"EC","ECL",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"120","EFF","EFFEN","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"EF","EFF",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"121","EGL","EAGLE INDUSTRIES  LLC","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"EG","EGL",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"122","ELU","ELURE","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"EL","ELU",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"123","ETT","ET STREET S/S","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"ET","ETT",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"124","EXC","EXCELERON","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"EX","EXC",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"125","F5R","F5 RACING","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"F5","F5R",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"126","FAR","FARROAD","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FA","FAR",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"127","FED","FEDERAL","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FE","FED",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"128","FER","FERRADA","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FE","FER",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"129","FGN","FORGED NATION","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FG","FGN",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"130","FGO","FORGIATO","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FG","FGO",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"131","FLK","FALKEN","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FL","FLK",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"132","FLR","FULLRUN","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FL","FLR",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"133","FLW","FULL WAY","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FL","FLW",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"134","FOO","FOOSE","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FO","FOO",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"135","FRC","FIERCE","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FR","FRC",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"136","FRD","FEROD","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FR","FRD",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"137","FRO","FIERO","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FR","FRO",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"138","FRS","FORCEUM","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FR","FRS",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"139","FRT","FORTE","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FR","FRT",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"140","FRW","FACTORY REPRODUCTION","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FR","FRW",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"141","FRY","FURY","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FR","FRY",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"142","FRZ","FORZA","2021-10-08 04:18:21.729673","2021-10-08 04:18:21.729673",,"FR","FRZ",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
